[2022-05-30 22:35:03,603] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 9개의 파일이 ['txt', '3주차', '4주차', '1주차', '10주차', '2주차']종류별로 정리 되었습니다.
[2022-05-30 22:35:11,661] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 []종류별로 정리 되었습니다.
[2022-05-30 22:38:21,692] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', 'txt', '4주차', '1주차', '10주차', '2주차']종류별로 정리 되었습니다.
[2022-05-30 22:46:24,640] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['txt', '10주차', '2주차', '1주차', '11주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 16:02:03,083] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', '4주차', '1주차', 'txt', '10주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 16:03:16,511] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '2주차', '1주차', '11주차', 'txt', '10주차']종류별로 정리 되었습니다.
[2022-06-01 16:20:26,070] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '10주차', 'txt', '11주차', '4주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 16:20:40,275] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '10주차', 'txt', '11주차', '4주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 16:25:11,530] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '1주차', '10주차', '11주차', '2주차', 'txt']종류별로 정리 되었습니다.
[2022-06-01 17:02:08,781] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', 'txt', '1주차', '2주차', '10주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 17:02:20,627] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['11주차', 'txt', '1주차', '2주차', '10주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 17:26:00,673] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '11주차', '1주차', 'txt', '2주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 17:26:10,453] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '11주차', '1주차', 'txt', '2주차', '4주차']종류별로 정리 되었습니다.
[2022-06-01 17:55:23,160] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '4주차', '11주차', 'txt', '1주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 17:56:05,949] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['10주차', '4주차', '11주차', 'txt', '1주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 17:57:57,587] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '11주차', 'txt', '10주차', '4주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 17:58:06,207] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '11주차', 'txt', '10주차', '4주차', '2주차']종류별로 정리 되었습니다.
[2022-06-01 17:59:39,165] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['2주차', '1주차', '4주차', 'txt', '11주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 17:59:50,142] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['2주차', '1주차', '4주차', 'txt', '11주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:00:43,598] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['2주차', '1주차', '4주차', 'txt', '11주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:00:51,822] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['2주차', '1주차', '4주차', 'txt', '11주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:06:18,990] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['1주차', '4주차', '2주차', '11주차', 'txt', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:10:08,946] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '11주차', '1주차', 'txt', '2주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:10:12,716] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '11주차', '1주차', 'txt', '2주차', '10주차']종류별로 정리 되었습니다.
[2022-06-01 18:10:43,712] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '1주차', 'txt', '2주차', '10주차', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:11:08,526] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['4주차', '1주차', 'txt', '2주차', '10주차', '11주차']종류별로 정리 되었습니다.
[2022-06-01 18:14:08,924] [파일 정렬 기능]을 사용하여 C:/Users/CDH/Desktop/3학년 수강/운영체제에서 C:/Users/CDH/Desktop/새 폴더(으)로 0개의 파일이 ['txt', '2주차', '1주차', '4주차', '10주차', '11주차']종류별로 정리 되었습니다.
